player,pts,country,continent,entered,continent_rank
Joe Ingles,5528,Australia,Oceania,2015,3
Kyrie Irving,16146,Australia,Oceania,2012,1
Nathan Jawai,126,Australia,Oceania,2009,1
Jock Landale,761,Australia,Oceania,2022,1
Luc Longley,4090,Australia,Oceania,1992,1
Will Magnay,0,Australia,Oceania,2021,1
Mangok Mathiang,8,Australia,Oceania,2018,1
Patty Mills,7781,Australia,Oceania,2010,2
Luke Schenscher,55,Australia,Oceania,2006,1
Ben Simmons,4712,Australia,Oceania,2018,2
Jack White,21,Australia,Oceania,2023,1
Leandro Bolmaro,56,Argentina,Americas,2022,4
Nicolás Brussino,150,Argentina,Americas,2017,3
Facundo Campazzo,738,Argentina,Americas,2021,4
Gabriel Deck,102,Argentina,Americas,2021,3
Carlos Delfino,4115,Argentina,Americas,2005,4
Patricio Garino,0,Argentina,Americas,2017,1
Manu Ginóbili*,14043,Argentina,Americas,2003,2
Walter Herrmann,819,Argentina,Americas,2007,3
Nicolás Laprovíttola,59,Argentina,Americas,2017,2
Andrés Nocioni,5415,Argentina,Americas,2005,6
Fabricio Oberto,1081,Argentina,Americas,2006,3
Pablo Prigioni,946,Argentina,Americas,2013,3
Pepe Sánchez,20,Argentina,Americas,2001,3
Luis Scola,8882,Argentina,Americas,2008,3
Rubén Wolkowyski,80,Argentina,Americas,2001,4
Norvel Pelle,83,Antigua and Barbuda,Americas,2020,3
Bruno Fernando,552,Angola,Africa,2020,4
